openml_id,name,run_type,prevalence,threshold_center,lr_bce_raw,lr_snb_raw,lr_temp_raw,lr_platt_raw,lr_bce_norm,lr_snb_norm,lr_temp_norm,lr_platt_norm,gam_bce_raw,gam_snb_raw,gam_temp_raw,gam_platt_raw,gam_bce_norm,gam_snb_norm,gam_temp_norm,gam_platt_norm,xgb_bce_raw,xgb_bce_norm,xgb_snb_raw_absw,xgb_snb_raw_fixed025,xgb_snb_raw_true,xgb_snb_norm_absw,xgb_snb_norm_fixed025,xgb_snb_norm_true,xgb_temp_raw,xgb_platt_raw,xgb_temp_norm,xgb_platt_norm
24,mushroom,prev,0.4820285573609059,0.4820285573609059,0.48202857142857136,0.48202857142857136,0.4820285714285713,0.4820285714285713,1.0000000291842988,1.0000000291842988,1.0000000291842988,1.0000000291842988,0.48202857142857136,0.48202857142857136,0.4820285714285713,0.4820285714285713,1.0000000291842988,1.0000000291842988,1.0000000291842988,1.0000000291842988,0.48202857142857136,1.0000000291842988,0.48202857142857136,0.48202857142857136,0.48202857142857136,1.0000000291842988,1.0000000291842988,1.0000000291842988,0.4820285714285713,0.4820285714285713,1.0000000291842988,1.0000000291842988
31,credit-g,inverse,0.3,0.7,0.00943459707404006,0.003780760709086633,0.0169520199236822,0.0095510330865506,0.03144865691346687,0.012602535696955443,0.05650673307894066,0.03183677695516867,0.01114977693365598,0.01385036695723064,0.0134972087990635,0.0083585000066183,0.037165923112186604,0.046167889857435467,0.044990695996878334,0.027861666688727665,0.004769469150663881,0.015898230502212937,0.014609746021180939,0.006047324826432,-0.0057443598036029005,0.04869915340393646,0.02015774942144,-0.01914786601200967,-0.0081244672765289,-0.0179518100673482,-0.02708155758842967,-0.059839366891160664
31,credit-g,prev,0.3,0.3,0.13237927838206742,0.1195127328871904,0.1299770285058573,0.1277987793145106,0.4412642612735581,0.3983757762906347,0.433256761686191,0.42599593104836875,0.13238306073151143,0.1202726290434549,0.1316343020194337,0.1338880906570507,0.4412768691050381,0.400908763478183,0.4387810067314457,0.4462936355235024,0.12810974275454196,0.4270324758484732,0.13223060929872718,0.1305402365332155,0.12465410510039213,0.44076869766242394,0.43513412177738503,0.41551368366797375,0.1278951061396112,0.1303803206269428,0.4263170204653707,0.434601068756476
38,sick,inverse,0.0612407211028632,0.9387592788971368,-0.00975863684365002,-0.00855803132892886,-0.0048039158369653,-0.0041912931963704,-0.15934882326514233,-0.13974413061783403,-0.07844316249797884,-0.06843964474765867,-0.0194885836485926,0.00482941126633918,-0.009156257350479,-0.006425147994667,-0.31822916676403157,0.07885947747459475,-0.14951256591344927,-0.10491626941941093,0.03645412326697674,0.5952595366365205,0.03935098050542662,0.03997674260403158,0.03187524713429678,0.6425623310236762,0.6527804030407234,0.520491048444015,0.0159455832254073,-0.0125007881664062,0.2603754975161746,-0.20412542408521292
38,sick,prev,0.0612407211028632,0.0612407211028632,0.047749028456243556,0.050057913443932976,0.0485832172898587,0.0489858425900392,0.7796940923677519,0.8173958853269055,0.7933155654430606,0.7998900357126747,0.04914167944841974,0.051715492742495414,0.0496113050360518,0.049761999991483,0.802434696447789,0.8444625048687996,0.8101032147012441,0.8125639132808393,0.057881955375792424,0.9451546999025499,0.057651164889039395,0.0579008427359143,0.05776906127661789,0.9413861210452666,0.9454631116877436,0.9433112516684099,0.0544196590783263,0.0552736915168456,0.8886188486729298,0.9025643480586217
44,spambase,inverse,0.3940447728754618,0.6059552271245382,0.2949841269117815,0.3096544841384909,0.2998775244545776,0.3019228146316373,0.7486056083403788,0.7858357868291213,0.7610239878739723,0.7662144898621971,0.31686726096471707,0.31707960609333286,0.3176326863263096,0.3173106566853318,0.8041402469380383,0.8046791327277577,0.8060827301640102,0.8052654889184843,0.33623185573450887,0.8532833801624244,0.3366696241404227,0.33575374432918936,0.33550953200669753,0.8543943412410838,0.8520700373185882,0.8514502795161696,0.3364213673896131,0.3367378458252371,0.8537643195585273,0.8545674730512499
44,spambase,prev,0.3940447728754618,0.3940447728754618,0.33320465905613733,0.33314148475410754,0.3328609312572559,0.3329812638290315,0.8456010128611627,0.8454406902116101,0.844728706406307,0.845034084322876,0.342526640366133,0.34116475708237853,0.3424174141435616,0.3407018902841693,0.8692581755789179,0.8658020117683529,0.8689809831630044,0.8646273564244144,0.3567277389279674,0.9052974775552003,0.3571498398662404,0.3570701077156249,0.3567381915696762,0.9063686780058313,0.9061663351349093,0.9053240040882958,0.3562675709120041,0.3564748052821574,0.9041296711341044,0.9046555869295126
151,electricity,prev,0.5754546257062146,0.5754546257062146,0.2879934340149476,0.2892762240820873,0.2878925794239986,0.2876861437475818,0.5004624537712485,0.5026916305122738,0.5002871930531246,0.49992845812043823,0.32970688184233243,0.33430897089196804,0.3300586772434407,0.3307908908259233,0.5729502676908828,0.5809475777203014,0.5735616024258786,0.5748340113175163,0.4947297631967312,0.8597198477457444,0.49517344895919563,0.4951447118863716,0.4950272019532321,0.8604908655508753,0.8604409275165972,0.860236723869793,0.4707255390039243,0.4708527984946635,0.8180063518061675,0.8182274978097869
312,scene,inverse,0.1790610718737017,0.8209389281262983,0.10749978297991362,0.08545730683488384,0.1019417300971073,0.0647130905664502,0.6003526163170582,0.47725229130293595,0.5693126318880215,0.36140234105207797,0.10927533789513284,0.0478992720177859,0.0951165777716017,0.0650315912548588,0.6102685343702662,0.2675024309670781,0.5311962939588059,0.36318106763444347,0.16299573723243757,0.9102801380939146,0.16793748410147738,0.16647123420517856,0.1682559674260919,0.9378782464785523,0.9296897000739323,0.9396568760895665,0.164002015362454,0.1556503534328525,0.9158998862585308,0.8692584703314987
312,scene,prev,0.1790610718737017,0.1790610718737017,0.1509898768201058,0.14972864133199995,0.1518814501630876,0.1508957641795483,0.8432311682273659,0.8361875630768535,0.8482103260848071,0.8427055786082894,0.15484368886911315,0.1474832799720096,0.1540358982521413,0.1550512629042495,0.8647535014105693,0.8236479231847497,0.8602422438350443,0.8659127373794165,0.1676589409042763,0.9363226699688934,0.16805495492642142,0.16819319185564974,0.16804961688744388,0.9385342842410588,0.9393062941915288,0.9385044729653768,0.1680747645114914,0.1683264768215525,0.9386449145688162,0.9400506489779045
