openml_id,name,run_type,run_id,prevalence,threshold_center,nll_nb_raw,snb_nb_raw
24,mushroom,prev,0,0.4820285573609059,0.4820285573609059,0.4824615384615383,0.4824615384615383
24,mushroom,prev,1,0.4820285573609059,0.4820285573609059,0.4818461538461538,0.4818461538461538
24,mushroom,prev,2,0.4820285573609059,0.4820285573609059,0.4818461538461538,0.4818461538461538
24,mushroom,prev,3,0.4820285573609059,0.4820285573609059,0.4818461538461538,0.4818461538461538
24,mushroom,prev,4,0.4820285573609059,0.4820285573609059,0.482142857142857,0.482142857142857
31,credit-g,inverse,0,0.3,0.7,0.0067918984993537,-0.0140156636732427
31,credit-g,inverse,1,0.3,0.7,0.0286069651741293,0.0220572569371466
31,credit-g,inverse,2,0.3,0.7,0.0009061427797827,0.0340557947859428
31,credit-g,inverse,3,0.3,0.7,0.0179459437748076,0.0458895469181372
31,credit-g,inverse,4,0.3,0.7,0.0014979344402066,-0.0187351001818307
31,credit-g,prev,0,0.3,0.3,0.1100262503835194,0.1130994648334589
31,credit-g,prev,1,0.3,0.3,0.1240340582197826,0.1208270994728442
31,credit-g,prev,2,0.3,0.3,0.151157563463755,0.1192708077690331
31,credit-g,prev,3,0.3,0.3,0.1276835613527584,0.1133401199823069
31,credit-g,prev,4,0.3,0.3,0.1490138702377418,0.1348256531596314
38,sick,inverse,0,0.0612407211028632,0.9387592788971368,-0.0130559634711324,-0.0041047078692008
38,sick,inverse,1,0.0612407211028632,0.9387592788971368,-0.0480854904741415,-0.0195872689955927
38,sick,inverse,2,0.0612407211028632,0.9387592788971368,0.0035762830410282,0.0155839862492194
38,sick,inverse,3,0.0612407211028632,0.9387592788971368,-0.0155231642611383,0.0132662695791934
38,sick,inverse,4,0.0612407211028632,0.9387592788971368,-0.024354583077579,0.0189887773680766
38,sick,prev,0,0.0612407211028632,0.0612407211028632,0.0499945901235811,0.053462398369346
38,sick,prev,1,0.0612407211028632,0.0612407211028632,0.0464812987721382,0.0483719037864105
38,sick,prev,2,0.0612407211028632,0.0612407211028632,0.0478494216925233,0.0501724467513857
38,sick,prev,3,0.0612407211028632,0.0612407211028632,0.0509473340379319,0.0535146628383696
38,sick,prev,4,0.0612407211028632,0.0612407211028632,0.0504357526159242,0.0530560519669653
44,spambase,inverse,0,0.3940447728754618,0.6059552271245382,0.3082028651950013,0.3022392826741188
44,spambase,inverse,1,0.3940447728754618,0.6059552271245382,0.3275066702020204,0.3267708219770562
44,spambase,inverse,2,0.3940447728754618,0.6059552271245382,0.3104204874074664,0.3132755801797425
44,spambase,inverse,3,0.3940447728754618,0.6059552271245382,0.3142824226602486,0.3162222686203536
44,spambase,inverse,4,0.3940447728754618,0.6059552271245382,0.3239238593588489,0.326890077015393
44,spambase,prev,0,0.3940447728754618,0.3940447728754618,0.3328694195135367,0.3368316757324386
44,spambase,prev,1,0.3940447728754618,0.3940447728754618,0.345500660752583,0.3414006868071197
44,spambase,prev,2,0.3940447728754618,0.3940447728754618,0.336144502994224,0.3374637775470249
44,spambase,prev,3,0.3940447728754618,0.3940447728754618,0.3500701455679622,0.3445692031763922
44,spambase,prev,4,0.3940447728754618,0.3940447728754618,0.3480484730023591,0.3455584421489173
151,electricity,prev,0,0.5754546257062146,0.5754546257062146,0.3198411149583959,0.3272924322240494
151,electricity,prev,1,0.5754546257062146,0.5754546257062146,0.3275119536717198,0.3333943132886229
151,electricity,prev,2,0.5754546257062146,0.5754546257062146,0.3329940656066476,0.3353379659721526
151,electricity,prev,3,0.5754546257062146,0.5754546257062146,0.3356182998588863,0.3384569550983498
151,electricity,prev,4,0.5754546257062146,0.5754546257062146,0.3325689751160126,0.3370631878766654
312,scene,inverse,0,0.1790610718737017,0.8209389281262983,0.1105817960781257,0.051227553478558
312,scene,inverse,1,0.1790610718737017,0.8209389281262983,0.0847709148817681,0.0505068443898579
312,scene,inverse,2,0.1790610718737017,0.8209389281262983,0.0963566111109544,0.0268542841132025
312,scene,inverse,3,0.1790610718737017,0.8209389281262983,0.1453545474628684,0.0434379678234736
312,scene,inverse,4,0.1790610718737017,0.8209389281262983,0.1093128199419476,0.0674697102838375
312,scene,prev,0,0.1790610718737017,0.1790610718737017,0.1655145365884844,0.1582158539113382
312,scene,prev,1,0.1790610718737017,0.1790610718737017,0.1588409663441865,0.1405957263401946
312,scene,prev,2,0.1790610718737017,0.1790610718737017,0.1512035464565699,0.1453249202050245
312,scene,prev,3,0.1790610718737017,0.1790610718737017,0.1560374536126344,0.1533130231687463
312,scene,prev,4,0.1790610718737017,0.1790610718737017,0.1426219413436906,0.1399668762347445
821,house_16H,inverse,0,0.2959971910112359,0.7040028089887641,0.108379841687013,0.1113936338551783
821,house_16H,inverse,1,0.2959971910112359,0.7040028089887641,0.1232779307807596,0.1216078609522376
821,house_16H,inverse,2,0.2959971910112359,0.7040028089887641,0.1063916828942418,0.1136754132270722
821,house_16H,inverse,3,0.2959971910112359,0.7040028089887641,0.1146648765979366,0.1247745071476271
821,house_16H,inverse,4,0.2959971910112359,0.7040028089887641,0.1155973231134217,0.1238354577262761
821,house_16H,prev,0,0.2959971910112359,0.2959971910112359,0.2129377332021408,0.2139344528131586
821,house_16H,prev,1,0.2959971910112359,0.2959971910112359,0.2172007301721575,0.2175401236567777
821,house_16H,prev,2,0.2959971910112359,0.2959971910112359,0.2117772133040669,0.2114995057750551
821,house_16H,prev,3,0.2959971910112359,0.2959971910112359,0.2132949052558552,0.2131307728626386
821,house_16H,prev,4,0.2959971910112359,0.2959971910112359,0.2140717177553697,0.2144826539720835
846,elevators,inverse,0,0.3090547623350804,0.6909452376649197,0.1858719567562841,0.1916532904599168
846,elevators,inverse,1,0.3090547623350804,0.6909452376649197,0.1882192855246683,0.1893945277646486
846,elevators,inverse,2,0.3090547623350804,0.6909452376649197,0.196997804803925,0.1983668418053954
846,elevators,inverse,3,0.3090547623350804,0.6909452376649197,0.1983252658384208,0.1969815642315061
846,elevators,inverse,4,0.3090547623350804,0.6909452376649197,0.1797944533335652,0.1865594736898733
846,elevators,prev,0,0.3090547623350804,0.3090547623350804,0.2272985841569603,0.2273672926477177
