openml_id,name,run_type,run_id,hessian_mode,prevalence,threshold_center,nll_nb_raw,snb_nb_raw
24,mushroom,prev,0,absw,0.4820285573609059,0.4820285573609059,0.4824615384615383,0.4824615384615383
24,mushroom,prev,1,absw,0.4820285573609059,0.4820285573609059,0.4818461538461538,0.4818461538461538
24,mushroom,prev,2,absw,0.4820285573609059,0.4820285573609059,0.4818461538461538,0.4818461538461538
24,mushroom,prev,3,absw,0.4820285573609059,0.4820285573609059,0.4818461538461538,0.4818461538461538
24,mushroom,prev,4,absw,0.4820285573609059,0.4820285573609059,0.482142857142857,0.482142857142857
24,mushroom,prev,0,fixed025,0.4820285573609059,0.4820285573609059,0.4824615384615383,0.4824615384615383
24,mushroom,prev,1,fixed025,0.4820285573609059,0.4820285573609059,0.4818461538461538,0.4818461538461538
24,mushroom,prev,2,fixed025,0.4820285573609059,0.4820285573609059,0.4818461538461538,0.4818461538461538
24,mushroom,prev,3,fixed025,0.4820285573609059,0.4820285573609059,0.4818461538461538,0.4818461538461538
24,mushroom,prev,4,fixed025,0.4820285573609059,0.4820285573609059,0.482142857142857,0.482142857142857
24,mushroom,prev,0,true,0.4820285573609059,0.4820285573609059,0.4824615384615383,0.4824615384615383
24,mushroom,prev,1,true,0.4820285573609059,0.4820285573609059,0.4818461538461538,0.4818461538461538
24,mushroom,prev,2,true,0.4820285573609059,0.4820285573609059,0.4818461538461538,0.4818461538461538
24,mushroom,prev,3,true,0.4820285573609059,0.4820285573609059,0.4818461538461538,0.4818461538461538
24,mushroom,prev,4,true,0.4820285573609059,0.4820285573609059,0.482142857142857,0.482142857142857
31,credit-g,inverse,0,absw,0.3,0.7,0.0011535248659871,0.0303727518448824
31,credit-g,inverse,1,absw,0.3,0.7,0.0149800937025205,-0.0049837348204724
31,credit-g,inverse,2,absw,0.3,0.7,-0.0315699327637832,-0.0025028394175193
31,credit-g,inverse,3,absw,0.3,0.7,0.0389409686504295,0.0528338196681329
31,credit-g,inverse,4,absw,0.3,0.7,0.0003426912981655,-0.0026712671691189
31,credit-g,inverse,0,fixed025,0.3,0.7,0.0011535248659871,0.0109063240261961
31,credit-g,inverse,1,fixed025,0.3,0.7,0.0149800937025205,-0.0064455257888311
31,credit-g,inverse,2,fixed025,0.3,0.7,-0.0315699327637832,-0.0208807310396719
31,credit-g,inverse,3,fixed025,0.3,0.7,0.0389409686504295,0.0547549282207587
31,credit-g,inverse,4,fixed025,0.3,0.7,0.0003426912981655,-0.0080983712862918
31,credit-g,inverse,0,true,0.3,0.7,0.0011535248659871,0.0011535248659871
31,credit-g,inverse,1,true,0.3,0.7,0.0149800937025205,-0.0144706263870197
31,credit-g,inverse,2,true,0.3,0.7,-0.0315699327637832,-0.0315699327637832
