openml_id,name,run_type,run_id,prevalence,threshold_center,nll_nb_raw,snb_nb_raw
24,mushroom,prev,0,0.4820285573609059,0.4820285573609059,0.4824615384615383,0.4824615384615383
24,mushroom,prev,1,0.4820285573609059,0.4820285573609059,0.4818461538461538,0.4818461538461538
24,mushroom,prev,2,0.4820285573609059,0.4820285573609059,0.4818461538461538,0.4818461538461538
24,mushroom,prev,3,0.4820285573609059,0.4820285573609059,0.4818461538461538,0.4818461538461538
24,mushroom,prev,4,0.4820285573609059,0.4820285573609059,0.482142857142857,0.482142857142857
31,credit-g,inverse,0,0.3,0.7,0.0116630318282222,-0.0220327010681298
31,credit-g,inverse,1,0.3,0.7,0.0235323383084577,8.813917462458407e-06
31,credit-g,inverse,2,0.3,0.7,0.0015777845708275,0.0335076454364962
31,credit-g,inverse,3,0.3,0.7,0.0151598741230663,0.0320344552151098
31,credit-g,inverse,4,0.3,0.7,-0.0047600434603734,-0.0246144099555055
31,credit-g,prev,0,0.3,0.3,0.1128401542837133,0.1110650937713406
31,credit-g,prev,1,0.3,0.3,0.1281787061783675,0.119195644913716
31,credit-g,prev,2,0.3,0.3,0.1466581496517602,0.1253041516683853
31,credit-g,prev,3,0.3,0.3,0.1236560066174995,0.1147497728622529
31,credit-g,prev,4,0.3,0.3,0.1505633751789966,0.1272490012202572
38,sick,inverse,0,0.0612407211028632,0.9387592788971368,-0.0167018689157574,-0.0261403679806621
38,sick,inverse,1,0.0612407211028632,0.9387592788971368,-0.0191060840182855,-0.0166497886639822
38,sick,inverse,2,0.0612407211028632,0.9387592788971368,0.0008511817569975,0.0
38,sick,inverse,3,0.0612407211028632,0.9387592788971368,-0.0024647174033958,0.0
38,sick,inverse,4,0.0612407211028632,0.9387592788971368,-0.0113716956378089,0.0
38,sick,prev,0,0.0612407211028632,0.0612407211028632,0.0492448215467304,0.0479849065712799
38,sick,prev,1,0.0612407211028632,0.0612407211028632,0.0447801786330489,0.0487933882584361
38,sick,prev,2,0.0612407211028632,0.0612407211028632,0.0460169003051795,0.04965101829334
38,sick,prev,3,0.0612407211028632,0.0612407211028632,0.0490697950207838,0.0516148736227572
38,sick,prev,4,0.0612407211028632,0.0612407211028632,0.0496334467754752,0.0522453804738517
44,spambase,inverse,0,0.3940447728754618,0.6059552271245382,0.301244382814851,0.2998777429310266
44,spambase,inverse,1,0.3940447728754618,0.6059552271245382,0.3004660155423479,0.3229063627292113
44,spambase,inverse,2,0.3940447728754618,0.6059552271245382,0.2742115950647826,0.2954329540608589
44,spambase,inverse,3,0.3940447728754618,0.6059552271245382,0.2976378072939807,0.3229088599863078
44,spambase,inverse,4,0.3940447728754618,0.6059552271245382,0.3013608338429452,0.3071465009850499
44,spambase,prev,0,0.3940447728754618,0.3940447728754618,0.3291873179298037,0.3225914282593276
44,spambase,prev,1,0.3940447728754618,0.3940447728754618,0.3347085127646279,0.338925772960514
44,spambase,prev,2,0.3940447728754618,0.3940447728754618,0.3242057634909158,0.3325764678334804
44,spambase,prev,3,0.3940447728754618,0.3940447728754618,0.3395984532572201,0.3365313293904265
44,spambase,prev,4,0.3940447728754618,0.3940447728754618,0.338323247838119,0.3350824253267892
151,electricity,prev,0,0.5754546257062146,0.5754546257062146,0.2732755843319623,0.2788460993800555
151,electricity,prev,1,0.5754546257062146,0.5754546257062146,0.2924387510788822,0.2893486034292868
151,electricity,prev,2,0.5754546257062146,0.5754546257062146,0.2842517281627421,0.287298353635801
151,electricity,prev,3,0.5754546257062146,0.5754546257062146,0.2942151567397471,0.292425016524139
151,electricity,prev,4,0.5754546257062146,0.5754546257062146,0.2957859497614044,0.2984630474411542
312,scene,inverse,0,0.1790610718737017,0.8209389281262983,0.0736952449023385,0.046735612389013
312,scene,inverse,1,0.1790610718737017,0.8209389281262983,0.0839947433747163,0.0197793023914443
312,scene,inverse,2,0.1790610718737017,0.8209389281262983,0.1177686045228468,0.0870615791999194
312,scene,inverse,3,0.1790610718737017,0.8209389281262983,0.1488709731685139,0.1508837759604391
312,scene,inverse,4,0.1790610718737017,0.8209389281262983,0.1131693489311527,0.1228262642336034
312,scene,prev,0,0.1790610718737017,0.1790610718737017,0.1581404471554924,0.1533285619361344
312,scene,prev,1,0.1790610718737017,0.1790610718737017,0.1490500216093806,0.1435655065224325
312,scene,prev,2,0.1790610718737017,0.1790610718737017,0.1508900187427924,0.1493873158800704
312,scene,prev,3,0.1790610718737017,0.1790610718737017,0.1551709869499971,0.1595192478804951
312,scene,prev,4,0.1790610718737017,0.1790610718737017,0.1416979096428665,0.1428425744408674
821,house_16H,inverse,0,0.2959971910112359,0.7040028089887641,0.0471356562406499,0.0571869673070606
821,house_16H,inverse,1,0.2959971910112359,0.7040028089887641,0.0515723466337102,0.0779122366892383
821,house_16H,inverse,2,0.2959971910112359,0.7040028089887641,0.0354377493691676,0.0538323967586631
821,house_16H,inverse,3,0.2959971910112359,0.7040028089887641,0.0375748604480435,0.0640256450589393
821,house_16H,inverse,4,0.2959971910112359,0.7040028089887641,0.0518391606834919,0.0791498428160937
821,house_16H,prev,0,0.2959971910112359,0.2959971910112359,0.1877129086066987,0.1910101630238814
821,house_16H,prev,1,0.2959971910112359,0.2959971910112359,0.1932412106075242,0.1992187136043679
821,house_16H,prev,2,0.2959971910112359,0.2959971910112359,0.1838332601704009,0.1896815967442902
821,house_16H,prev,3,0.2959971910112359,0.2959971910112359,0.1852947916674875,0.1957482230733684
821,house_16H,prev,4,0.2959971910112359,0.2959971910112359,0.1870002820357904,0.195980681351016
846,elevators,inverse,0,0.3090547623350804,0.6909452376649197,0.1884301232977099,0.1920152219819969
846,elevators,inverse,1,0.3090547623350804,0.6909452376649197,0.1893263949152969,0.1882526667112322
846,elevators,inverse,2,0.3090547623350804,0.6909452376649197,0.1925955063243308,0.19593897549433
846,elevators,inverse,3,0.3090547623350804,0.6909452376649197,0.1988871648073288,0.195389087194144
846,elevators,inverse,4,0.3090547623350804,0.6909452376649197,0.1766917107713195,0.1816105589171304
846,elevators,prev,0,0.3090547623350804,0.3090547623350804,0.2237458223114894,0.2251888138509171
846,elevators,prev,1,0.3090547623350804,0.3090547623350804,0.2273860982599251,0.2254283821603739
